username,car_id,price,vin,buyer_first_name,buyer_last_name,buyer_id,Id_Sucursal
lfullard0,901-mm-29,"$9,666.70 ",3D73Y4EL2BG728925,Lindsay,Pailin,680-09-5514,2
lfullard0,901-mm-29,"$29,580.36 ",JA32U2U2DU146156,Astrix,Macari,444-97-8707,1
lfullard0,901-mm-29,"$14,172.83 ",JN8AZ2NC9E9574760,Marlowe,Penwarden,196-85-4829,1
etregian1,998-wb-31,"$21,058.35 ",JN8AZ2NC8E9693559,Wandis,Huddart,783-56-7048,2
etregian1,998-wb-31,"$7,117.63 ",1FMEU5DE4AU485341,Ryan,Boltwood,651-59-9362,2
etregian1,998-wb-31,"$9,775.42 ",5N1AZ2MG6FN035047,Roddie,Trapp,328-64-2942,2
egraeser2,036-bj-19,"$16,305.47 ",WBXPA734X5W388834,Hunfredo,Drewery,128-97-0936,3
egraeser2,036-bj-19,"$18,597.59 ",1GYS3JEF7CR161216,Wynny,Beeze,718-49-5616,3
egraeser2,036-bj-19,"$28,172.75 ",2T2BK1BA5FC034766,Lotty,Alfonsini,543-47-5672,3
lfullard0,901-mm-29,"$9,666.70 ",3D73Y4EL2BG728925,Lindsyay,,"",2
